category_id,name
cond-mat.stat-mech,cond-mat.stat-mech
cond-mat.str-el,cond-mat.str-el
cond-mat.supr-con,cond-mat.supr-con
cs-CL,cs-CL
cs.AI,cs.AI
cs.AR,cs.AR
cs.CC,cs.CC
cs.CE,cs.CE
cs.CG,cs.CG
cs.CL,cs.CL
cs.CR,cs.CR
cs.CV,cs.CV
cs.CY,cs.CY
cs.DB,cs.DB
cs.DC,cs.DC
cs.DL,cs.DL
cs.DM,cs.DM
cs.DS,cs.DS
cs.ET,cs.ET
cs.FL,cs.FL
cs.GL,cs.GL
cs.GR,cs.GR
cs.GT,cs.GT
cs.HC,cs.HC
cs.IR,cs.IR
cs.IT,cs.IT
cs.LG,cs.LG
cs.LO,cs.LO
cs.MA,cs.MA
cs.MM,cs.MM
cs.MS,cs.MS
cs.NA,cs.NA
cs.NE,cs.NE
cs.NI,cs.NI
cs.OH,cs.OH
cs.OS,cs.OS
cs.PF,cs.PF
cs.PL,cs.PL
cs.RO,cs.RO
cs.SC,cs.SC
cs.SD,cs.SD
cs.SE,cs.SE
cs.SI,cs.SI
cs.SY,cs.SY
econ.EM,econ.EM
econ.GN,econ.GN
econ.TH,econ.TH
eess.AS,eess.AS
eess.IV,eess.IV
eess.SP,eess.SP
eess.SY,eess.SY
gr-qc,gr-qc
hep-ex,hep-ex
hep-ph,hep-ph
hep-th,hep-th
math-ph,math-ph
math.AC,math.AC
math.AG,math.AG
math.AP,math.AP
math.AT,math.AT
math.CO,math.CO
math.CT,math.CT
math.DG,math.DG
math.DS,math.DS
math.GN,math.GN
math.GR,math.GR
math.HO,math.HO
math.IT,math.IT
math.LO,math.LO
math.MG,math.MG
math.MP,math.MP
math.NA,math.NA
math.NT,math.NT
math.OC,math.OC
math.PR,math.PR
math.QA,math.QA
math.RA,math.RA
math.RT,math.RT
math.SG,math.SG
math.SP,math.SP
math.ST,math.ST
nlin.AO,nlin.AO
nlin.CD,nlin.CD
nlin.CG,nlin.CG
nlin.PS,nlin.PS
none,none
physics.acc-ph,physics.acc-ph
physics.ao-ph,physics.ao-ph
physics.app-ph,physics.app-ph
physics.atom-ph,physics.atom-ph
physics.bio-ph,physics.bio-ph
physics.chem-ph,physics.chem-ph
physics.comp-ph,physics.comp-ph
physics.data-an,physics.data-an
physics.ed-ph,physics.ed-ph
physics.flu-dyn,physics.flu-dyn
physics.geo-ph,physics.geo-ph
physics.hist-ph,physics.hist-ph
physics.ins-det,physics.ins-det
physics.med-ph,physics.med-ph
physics.pop-ph,physics.pop-ph
physics.soc-ph,physics.soc-ph
q-bio.BM,q-bio.BM
q-bio.CB,q-bio.CB
q-bio.GN,q-bio.GN
q-bio.MN,q-bio.MN
q-bio.NC,q-bio.NC
q-bio.OT,q-bio.OT
q-bio.PE,q-bio.PE
q-bio.QM,q-bio.QM
q-fin.CP,q-fin.CP
q-fin.EC,q-fin.EC
q-fin.GN,q-fin.GN
q-fin.MF,q-fin.MF
q-fin.PM,q-fin.PM
q-fin.PR,q-fin.PR
q-fin.RM,q-fin.RM
q-fin.ST,q-fin.ST
q-fin.TR,q-fin.TR
quant-ph,quant-ph
stat.AP,stat.AP
stat.CO,stat.CO
stat.ME,stat.ME
stat.ML,stat.ML
stat.OT,stat.OT
stat.TH,stat.TH
